feature,module,independence_cluster,source_ids,sequence_accessions_or_named_anchor,source_resolution,strict_node_label,orthology_status,family_recurrence_counted,strict_crossspecies_recurrence_counted,notes,claim_boundary
FLS,flavonol,CSIN_WHITE_PINK,"CSA008358;CSA006950","CSA008358->CSS0045924; CSA006950->CSS0007745",multiple_source_local_paralogs,,paralog_group_unresolved,yes,no,"TPIA2 resolves the two source FLS loci to distinct rows/CDSs (~82% within-genome identity). The author-classified CnFLS2 qRT-PCR primer pair from F01.PB8395 matches CSA008358/CSS0045924 exactly at both primers but not CSA006950",family recurrence is supported; CSA008358 is CnFLS2-like by local amplicon evidence but formal full-length orthology is not established
FLS,flavonol,CNITIDISSIMA,"CnFLS1 source group: F01.PB53224;F01.PB58793;F01.PB6032; CnFLS2 source group: F01.PB57785;F01.PB107898;F01.PB59604;F01.PB41677;F01.PB49622;F01.PB8395;F01.PB39893; CnFLS3: F01.PB4564;F01.PB102531;F01.PB53935; CnFLS4: F01.PB10952;F01.PB4098;F01.PB29531","CnFLS1 complete cDNA JF343560.1; CnFLS2 qRT-PCR anchor F01.PB8395",author_classified_source_transcript_groups_plus_qpcr_anchor,,source_transcript_groups_with_local_amplicon_anchor,yes,no,"Feng2024 Supplementary Fig.8 supplies the authors' CnFLS1-4 transcript groups and Table 4 supplies the F01.PB8395/CnFLS2 primer. Previous XP_028071684/XP_028092149/XP_028049310 assignments were invalid and are not used",source-group and primer evidence resolve paralog hypotheses locally; no formal cross-species strict ortholog label is assigned without full-length F01.PB sequences/gene tree
FLS,flavonol,CPERPETUA,FLS,,family_hub_only,,family_level_only,yes,no,"source identifies FLS as a hub during yellow development but no frozen sequence/locus anchor is yet available",cannot compare exact ortholog identity from symbol alone
ANS,anthocyanin_downstream,CSIN_WHITE_PINK,"ANS;CSA011508","CSS0010687.1;K05277;source LDOX1 qRT-PCR primer",source_family_plus_sequence_resolved_LDOX,CSA011508_CsANS1_like,functional_class_sequence_anchor_exact,yes,no,"2019 source explicitly calls CSA011508 LDOX1; TPIA2 maps it through TEA010322 to CSS0010687, independently reported as ANS/CsANS1/CsANSa; later S8 LAR/FLAR labels are preserved as an annotation conflict",admit to ANS/LDOX family and sequence-anchor this source locus; exact naming/paralog relationship to other Camellia ANS remains unresolved
ANS,anthocyanin_downstream,CRETICULATA,"gene-LOC114274940;gene-LOC114288034;gene-LOC114295638;novel.12638;CrANS",,KEGG_K05277_family_plus_named_functional_gene,,paralog_group_unresolved,yes,no,"four K05277 homologs show mixed directions; CrANS functional evidence anchors the family biologically but no cross-species sequence identity is frozen",K05277/ANS-like family is not an interchangeable node
ANS,anthocyanin_downstream,CSASANQUA,ANS,,reported_family_only,,family_level_only,yes,no,"ANS is reported among colour-associated structural modules; source accession/sequence anchor remains unresolved",family recurrence only
DFR,anthocyanin_downstream,CSIN_WHITE_PINK,"CSA003949;CSNG45659;CSNG38209","XM_028243762.1 for CSA003949 via TEA024758; CSNG unigenes de novo",mixed_genome_subclass_plus_de_novo_unigenes,CsDFRb2_for_CSA003949,subclass_sequence_anchor_exact,yes,no,"CSA003949 maps to TEA024758=CsDFRb2, distinct from canonical CsDFRa=TEA032730. CSNG45659/38209 are de novo DFR-annotated unigenes; the public Csng45659 qRT-PCR primer does not map decisively to any predeclared CsDFRa/b/c/d candidate across CDS/transcript/exon",DFR-family recurrence remains valid; do not call the C. sinensis signal canonical CsDFRa reuse or force CSNG unigenes onto known genome paralogs
DFR,anthocyanin_downstream,CJAPONICA,CjDFR,,named_functional_target,,named_gene_without_sequence_anchor,yes,no,"CjMYB114-CjbHLH1 activates the CjDFR promoter, but a sequence accession/source locus for CjDFR is not frozen in the current registry",functional target does not establish orthology to C. sinensis DFR loci
ANR,proanthocyanidin,CSIN_WHITE_PINK,CSA011986,,source_local_locus,,source_local_unmapped,yes,no,"pink-directed ANR at the informative stage in defended S8 orientation",no cross-species orthology claim
ANR,proanthocyanidin,CRETICULATA,"gene-LOC114258680;gene-LOC114259095;gene-LOC114276938;gene-LOC114287753;gene-LOC114297899",,KEGG_K08695_paralog_set,,paralog_group_unresolved,yes,no,"five ANR-like homologs show mixed red-white directions",family recurrence only
LAR,proanthocyanidin,CSIN_WHITE_PINK,"CSA019984;CSA018523;CSNG5035","CSA019984->TEA021535/CSS0034690; CSA018523->TEA027582/CSS0009063",multiple_genome_and_de_novo_paralogs,,paralog_group_unresolved,yes,no,"CSA019984 and CSA018523 are distinct genome-crosswalked LAR rows (~72-79% within-family CDS identity). CSNG5035 is a de novo LAR-like unigene; its public qRT-PCR primer does not map decisively to the four predeclared source LAR genome candidates across CDS/transcript/exon",family recurrence within one cluster only; do not force the de novo unigene to a known genome paralog
UFGT,anthocyanin_downstream,CRETICULATA,"gene-LOC114285765;gene-LOC114285774;gene-LOC114288492;gene-LOC114289234",K12930,source_highlighted_four_locus_set,,paralog_group_unresolved,yes,no,"all four source-highlighted loci are red>white; three are red>pink>white; broader K12930 family contains additional mixed homologs",one-cluster locus-set evidence only
MYB114,regulatory,CJAPONICA,CjMYB114,PP033112.1,named_sequence_anchor_exact,CjMYB114,exact_named_sequence_anchor,yes,no,"functional regulator with public sequence accession; only one biological cluster",strict node is resolved but has no independent cross-species recurrence yet
bHLH1,regulatory,CJAPONICA,CjbHLH1,MZ614498.1,named_sequence_anchor_exact,CjbHLH1,exact_named_sequence_anchor,yes,no,"functional partner with public sequence accession; only one biological cluster",strict node is resolved but has no independent cross-species recurrence yet
