hypothesis_id,hypothesis,current_status,chun_result_basis,remaining_test,claim_boundary
H_ACC,"Pigment-network states are repeatedly reachable through regulatory/flux changes",supported_preliminary,"8/8 independent mechanistic clusters show regulatory/flux evidence; 6/6 red-direction clusters show higher anthocyanin; no positive structural-loss requirement in informative clusters","common raw-RNAseq module effect-size meta-analysis","supports recurrent accessibility, not a natural mechanism frequency"
H_COLD_UNIVERSAL,"Anthocyanin-like red/pink floral state generally enables colder climatic niche expansion in Camellia",not_supported,"exact-taxonomy 50-species A vs W: BIO1 P=0.785; BIO6 P=0.554; cold-tail P=0.697; specimen-only P=0.746/0.586/0.527; OpenTree/Grafen BM-PGLS on 33 taxa: BIO1 P=0.361, BIO6 median P=0.070, cold-tail P=0.614; colder C. rusticana is not visibly redder than C. japonica","branch-level lineage-specific event tests only","do not retain as a genus-wide primary hypothesis"
H_COLD_CONDITIONAL,"Anthocyanin deployment facilitates cold/UV adaptation only in particular lineages or ecological contexts",open_conditional,"macro literature contains support, null and counterexample units; genus-wide A-W thermal mean is null; topology-aware BIO6 has only a weak non-significant cold-direction trend","primary nuclear-tree branch-event lead/lag tests; mechanistic pigment rather than visible hue","plausible only conditionally; present data do not identify causal branches"
H_Y_HISTORY,"Yellow state is unusually historically/geographically constrained",supported_preliminary,"Fan Data S1 species analysis: Y 22/22 confined to South China/Southwest China/Vietnam versus non-Y 64/84; one-sided Fisher P=0.00552; A vs W geography P=1.0; GBIF thermal Y sample remains only two South-China Chrysantha species","nuclear-tree ancestral range/transition reconstruction and broader occurrence audit","supports geographic constraint, not a yellow thermal optimum"
H_AW_EXPANSION,"Red/pink anthocyanin-like state expands beyond southern ancestral belt more readily than white",not_supported,"Fan Data S1 species geography: A 21/28 south-only vs W 43/56; OR=0.907, Fisher P=1.0","nuclear-tree historical range reconstruction","A and W are indistinguishable in this source-geography contrast"
H_HISTORY_STRUCTURE,"Visible flower-colour states are strongly structured by lineage/history rather than being distributed independently across Camellia",supported_preliminary,"Fan Data S1 deterministic species table excluding non-section Vietnam rows: 98 species across 17 traditional sections; section×colour Pearson chi2=178.646, Cramer's V=0.955, 100000-shuffle permutation P<1e-5; e.g. sect. Camellia 22/23 A, sect. Chrysantha 13/13 Y, sect. Thea 14/14 W","replace traditional-section proxy with admitted nuclear-tree phylogenetic signal / transition model","traditional sections are not assumed monophyletic; result establishes strong taxonomic-history structure, not a quantified nuclear phylogenetic signal"
H_FILTER,"Molecular accessibility generates variants while ecology/history filters which states persist macroevolutionarily",best_current_explanatory_hypothesis,"strong micro recurrence contrasts with weak macro cold-enabler evidence; P(micro regulatory recurrence > macro cold-enabler support)=0.9725; exact-taxonomy/specimen-only/topology-aware A-W thermal results do not support a universal red=cold mapping; yellow geography and section-colour structure are strong","micro-accessibility score -> macro reuse -> environmental/pollinator persistence model","supported as synthesis pattern; causal filtering factors not yet separated"
H_MICRO_MACRO_REUSE,"The exact pigment-network nodes labile within development/cultivars are preferentially reused on macroevolutionary colour-transition branches",open_primary,"cross-scale accessibility pattern motivates this but macro branch gene assignments are not yet available","primary nuclear tree + transition mapping + raw RNAseq/common ortholog node enrichment","not yet demonstrated"
H_POLL_FILTER,"Pollinator sensory environment helps determine which accessible pigment/spectral states persist",open_secondary,"species-level pollination evidence is heterogeneous; same visible red can be bird-associated or insect-associated","phylogenetic meta-regression on spectrum/UV, nectar, season and effective pollination","do not infer from human colour categories alone"
H_A_THERMAL_BREADTH,"Anthocyanin-like A lineages occupy narrower thermal breadth than W lineages",sensitivity_signal_only,"OpenTree synthetic topology + Grafen BM-PGLS: BIO1 IQR A-W=-1.17 C, P=0.000233; raw exact-taxonomy and specimen-only species-label tests are non-significant (P=0.627 and 0.748)","primary dated nuclear tree and occurrence-definition sensitivity","do not promote from topology-only sensitivity; direction is opposite to an A-enabled niche-expansion prediction"
H_STATE_ALIASING,"Human-visible W/A/Y states merge distinct biochemical, sensory and ecological states and therefore lose macroevolutionarily relevant information",supported_preliminary,"visible colour is weak for exact 50-species thermal axes; most directly, red C. japonica and red C. rusticana have different pollination strategies and strongly different thermal niches; mechanistic ledger shows multiple regulatory/flux routes to superficially similar less-red/white states and yellow C. nitidissima combines flavonol and carotenoid deployment. The initial section-vs-colour cold-tail contrast is excluded as supporting evidence because leave-one-section-out shows it is dominated by Tuberculatae.","build species latent pigment/spectral state matrix and compare predictive/phylogenetic fit against W/A/Y on primary nuclear trees","supports visible hue as a lossy deterministic proxy, not yet superiority of a particular latent-state model"
H_WHITE_RESERVOIR,"White is often an accessible retained-pathway reservoir/bridge rather than a terminal pigment-loss state",open_primary_with_preliminary_support,"published visible root is white; exact climate subset W spans 9/10 observed sections versus A 2/10 and Y 1/10; all informative mechanistic clusters implicate regulatory/flux changes and none require wholesale structural loss","nuclear-tree stochastic maps with root/state-frequency/sampling controls plus pathway-retention evidence on W->coloured branches","broad white distribution can arise by ancestral retention alone; do not call white an evolutionary hub until transition centrality exceeds null expectation"
